ID,Entry_Term,DegreeDate,DegreeEarned,DegreeMajor,DegreeGPA,HSGPA,ACTMath,ACTEnglish,Gender,Race,Citizenship,First_Gen,HomeState,EFC,FamilyIncome,FatherEdLevel,MotherEdLevel,PELL,Loan,TOPS,CampHousing,Greek,FirstSemGPA,FirstYearGPA,SecondYearGPA,SixyearCompletion,FirstYrCalcorHigherCompletion,FirstYrStEMRetention,SecondYrSTEMRetention,FirstYrEarnedCreditHours,SecondYrEarnedCreditHours,STEMDegreeCompletion
13797,Fall2012,Fall2016,BA,ENGL  ,3.175,3.29,19,29,0,6,1,1,1,0,710,6,2,1,1,1,0,0,2.230,1.880,2.777,1,0,0,0,25,54,0
14209,Fall2012,,,,,3.32,25,20,1,7,0,0,1,44742,129615,4,2,0,0,1,0,0,2.352,2.000,1.224,0,1,1,1,28,32,0
14968,Fall2012,,,,,3.15,22,24,1,7,1,0,0,          ,          ,4,4,0,0,0,0,1,0.000,0.555,     ,0,0,0,0,3,3,0
14972,Fall2012,,,,,3.11,21,28,1,2,1,1,1,0,6258,2,2,1,0,1,0,0,2.538,1.772,0.980,0,0,0,0,19,22,0
15082,Fall2012,,,,,2.82,25,32,1,7,1,1,1,35546,160562,2,2,0,0,1,0,0,0.500,0.900,     ,0,0,0,0,18,18,0
15514,Fall2012,Spring2017,BSPETE,PETE  ,2.984,3.66,30,26,1,7,1,0,0,33930,152619,2,4,0,1,1,0,1,4.000,3.448,2.881,1,1,1,1,29,56,1
15538,Fall2012,,,,,3.38,26,29,0,7,1,0,1,13537,84425,6,4,0,1,1,0,0,0.000,2.333,2.350,0,0,0,0,9,20,0
15604,Fall2012,Spring2017,BSCHE,CHE   ,3.224,4.00,28,29,0,2,1,0,1,16254,88720,4,4,0,0,1,0,0,3.687,3.704,3.422,1,1,1,1,32,61,1
16492,Fall2012,Fall2016,BS,CSC   ,2.718,3.26,35,32,1,7,1,1,1,13710,105849,2,0,0,0,1,0,0,2.812,2.500,2.266,1,1,1,1,32,57,1
17717,Fall2012,Spring2017,BA,PHIL  ,2.501,3.88,32,34,1,7,1,1,1,16862,88645,1,1,0,0,1,0,0,2.944,2.787,2.500,1,1,1,1,33,57,0
17892,Fall2012,,,,,4.00,24,21,0,7,1,0,1,1804,43094,2,4,1,0,1,0,0,3.727,3.666,3.571,0,0,0,0,27,40,0
18372,Fall2012,Spring2017,BSME,ME    ,2.906,3.46,26,28,1,7,1,0,1,99999,712935,4,4,0,0,1,0,0,3.357,3.241,2.796,1,1,1,1,29,51,1
18441,Fall2012,Spring2017,BSME,ME    ,2.784,2.98,26,27,1,7,1,1,1,16451,103261,1,2,0,0,1,0,0,3.500,3.533,2.894,1,1,1,1,30,57,1
18590,Fall2012,,,,,3.16,28,29,1,7,1,0,1,23793,187048,6,6,0,0,1,0,0,1.090,2.225,1.949,0,0,1,1,20,43,0
18904,Fall2012,,,,,3.32,24,25,1,1,1,0,1,0,18093,0,4,1,0,1,0,0,1.545,0.880,     ,0,0,1,0,16,16,0
19266,Fall2012,Summer2019,BSCES,CES   ,2.371,3.16,32,25,1,7,1,0,0,99999,659189,6,6,0,0,0,0,1,2.571,1.607,1.875,0,1,1,1,21,49,0
19454,Fall2012,Summer2016,BS,BIOL  ,3.400,3.23,26,23,1,7,1,0,1,41510,302429,4,4,0,0,1,0,1,3.000,3.428,3.315,1,1,1,1,28,57,1
19843,Fall2012,Spring2017,BSME,ME    ,3.775,3.47,33,33,0,7,1,0,1,14719,129570,2,5,0,0,1,0,0,4.000,4.000,3.854,1,1,1,1,32,48,1
20107,Fall2012,Fall2016,BSCM,CM    ,3.599,3.36,18,19,1,2,1,1,1,0,38550,1,1,1,0,1,0,0,3.600,3.545,3.745,1,0,1,1,27,53,1
20136,Fall2012,Fall2016,BS,ELED  ,3.304,3.10,21,20,0,7,1,1,0,7249,87158,1,1,0,1,1,0,0,3.000,2.760,2.563,1,0,0,0,25,55,0
20308,Fall2012,Fall2016,BS,NFS   ,2.831,    ,27,24,0,7,1,0,0,          ,          ,4,4,0,0,0,0,1,1.750,1.904,2.411,1,0,0,0,26,52,0
20639,Fall2012,Fall2016,BS,BIOL  ,3.643,3.56,20,23,0,7,1,0,1,39359,117918,2,4,0,0,1,0,0,4.000,3.818,3.754,1,1,1,1,33,61,1
20851,Fall2012,,,,,2.80,21,27,1,7,1,0,1,10393,69694,6,6,0,0,1,0,1,1.928,1.851,     ,0,0,0,0,27,27,0
20900,Fall2012,Spring2019,BSCE,CE    ,2.407,3.49,33,27,1,7,1,0,1,79992,183553,1,4,0,0,1,0,0,2.875,2.633,2.568,0,1,1,1,30,55,1
21006,Fall2012,Spring2017,BSPETE,PETE  ,2.636,3.53,30,29,1,7,1,0,0,          ,          ,1,5,0,0,0,0,1,2.642,2.521,2.586,1,1,1,1,23,54,1
21832,Fall2012,Fall2016,BSEE,EE    ,3.263,3.10,25,30,0,7,1,0,1,58633,225937,4,1,0,0,1,0,0,2.823,2.741,3.111,1,1,1,1,31,63,1
22117,Fall2012,,,,,3.11,29,27,1,7,1,1,1,0,25010,2,2,1,0,1,0,0,0.857,0.692,     ,0,0,1,0,12,12,0
22143,Fall2012,,,,,3.26,24,31,1,7,1,0,1,36587,225307,5,2,0,0,1,0,0,0.000,0.000,     ,0,0,0,0,0,0,0
22599,Fall2012,Spring2017,BSPETE,PETE  ,2.667,3.48,27,30,1,7,1,0,1,6705,92842,4,4,0,1,1,0,0,2.285,2.730,2.711,1,0,1,1,26,52,1
22803,Fall2012,Summer2018,BSGEOL,GEOLP ,2.177,3.16,24,25,1,7,1,1,1,0,0,2,2,1,0,1,0,0,1.266,2.066,2.107,1,1,1,1,27,49,1
22898,Fall2012,Fall2016,BSCE,CE    ,3.022,3.54,18,24,1,7,1,0,1,32212,144037,4,4,0,1,1,0,0,2.500,2.769,2.777,1,1,1,1,20,54,1
22927,Fall2012,Spring2017,BSCHE,CHE   ,2.835,3.62,26,29,1,7,1,0,1,45949,305300,2,4,0,0,1,0,0,3.785,3.700,3.189,1,1,1,1,30,56,1
22947,Fall2012,Fall2016,BSCE,CE    ,2.989,3.07,26,24,0,7,1,0,0,          ,          ,4,4,0,0,0,0,1,2.642,2.500,2.745,1,1,1,1,28,54,1
23746,Fall2012,,,,,3.62,25,31,0,7,1,1,1,9420,62256,1,0,0,0,1,0,0,2.500,2.389,2.274,0,0,1,0,6,6,0
23894,Fall2012,,,,,2.98,23,22,1,7,1,1,1,2319,42236,0,1,1,1,1,0,0,0.266,0.137,     ,0,0,1,0,1,1,0
24383,Fall2012,Spring2017,BSPETE,PETE  ,3.676,3.62,31,29,1,7,1,0,0,50801,207820,4,4,0,1,1,0,1,4.000,3.735,3.766,1,1,1,1,25,51,1
24635,Fall2012,,,,,3.47,27,23,1,7,1,1,1,17776,97818,2,1,0,0,1,0,0,0.000,0.000,     ,0,0,0,0,0,0,0
25448,Fall2012,Spring2016,BSME,ME    ,2.965,3.58,33,34,1,7,1,0,0,13419,141710,4,4,0,0,0,0,0,3.187,3.000,2.774,1,1,1,1,31,62,1
25705,Fall2012,Spring2016,BSPETE,PETE  ,2.748,3.17,26,24,1,7,1,0,1,45719,168971,5,5,0,1,1,0,0,3.200,2.821,2.582,1,1,1,1,28,67,1
25961,Fall2012,,,,,3.07,26,23,1,2,1,0,1,4536,44700,0,4,1,1,1,0,0,3.533,3.527,3.314,0,1,1,1,31,65,0
26669,Fall2012,Fall2016,BS,ELED  ,3.104,3.26,23,22,0,2,1,0,1,3415,47345,2,4,1,0,1,0,0,2.071,2.241,2.500,1,0,0,0,26,66,0
